,Accountable_Organization,Implementing_Organization,Award_Status,Award_Total_Estimated_Value,Award_Start_Date,Award_End_Date,Award_Transaction_Value,Award_Transaction_DAC_Purpose_Code,Award_Transaction_DAC_Purpose_Code_Name,Award_Transaction_US_Foreign_Assistance_Category,Year
0,U.S. Agency for International Development,Vendor implementing direct administrative services,Implementation,0.0,2017-10-01,2018-09-30,483443.679999999,91010,Administrative costs,Program Management,2017
1,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,4494686.0,2015-05-27,2017-09-30,1078607.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
2,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2013-09-30,147.8,72010,Material relief assistance and services,Humanitarian Assistance,2012
3,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2015-10-01,2016-09-30,1654.54,43010,Multisector aid,Program Management,2015
4,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-08-20,2015-09-30,143905.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2013
5,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2015-01-28,2017-09-30,1500000.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
6,U.S. Agency for International Development,"Chemonics International, Inc.",Completion,0.0,2013-01-07,2017-09-30,1799051.79,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2013
7,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-04-01,2015-09-30,18820.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
8,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2014-10-01,2015-09-30,6490.0,43010,Multisector aid,Program Management,2014
9,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-10-01,2015-09-30,27.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
10,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,9719.67,72010,Material relief assistance and services,Humanitarian Assistance,2012
11,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2015-10-01,2016-09-30,132129.329999999,43010,Multisector aid,Program Management,2015
12,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,36715973.0,2015-10-01,2018-10-31,2000000.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2015
13,U.S. Agency for International Development,U.S. Government - Department of State,Completion,0.0,2012-10-01,2014-09-30,3625.0,74010,Disaster prevention and preparedness,Humanitarian Assistance,2012
